Frame 0 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 0 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 0 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 1 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 1 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 1 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 2 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 2 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 2 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 3 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 3 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 3 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 4 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 4 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 4 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 5 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 5 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 5 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 6 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 6 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 6 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 7 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 7 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 7 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 8 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 8 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 8 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 9 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
