0000 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=266
0001 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0002 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0003 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0004 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0005 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0006 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0007 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0008 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0009 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0010 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0011 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0012 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0013 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0014 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0015 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0016 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0017 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0018 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0019 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0020 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0021 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0022 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0023 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0024 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0025 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0026 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0027 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0028 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0029 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0030 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0031 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0032 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0033 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0034 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0035 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0036 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0037 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0038 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0039 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0040 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0041 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0042 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0043 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0044 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0045 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0046 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0047 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0048 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0049 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0050 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0051 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0052 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0053 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0054 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0055 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
